chrom	start	end	number_DEL	number_DUP	number_h2hINV	number_t2tINV	number_TRA	clusterSize_including_TRA	number_SVs_sample	number_CNV_segments	pval_fragment_joins	chr_breakpoint_enrichment	pval_exp_chr	pval_exp_cluster	max_number_oscillating_CN_segments_2_states	max_number_oscillating_CN_segments_3_states	number_CN_segments_chr	max_number_oscillating_CN_segments_2_states_chr	max_number_oscillating_CN_segments_3_states_chr	inter_number_DEL	inter_number_h2hINV	inter_number_t2tINV	inter_number_DUP	inter_pval_fragment_joins	inter_other_chroms	inter_other_chroms_coords_all	Kids_First_Biospecimen_ID	fdr_fragment_joins	fdr_chr_breakpoint_enrichment	fdr_exp_cluster	call_high_conf	call_low_conf
8	1235464	22451386	3	0	1	0	1	5	102	6	0.283886130759827	0.0508957937000793	NA	0.0544715894297829	2	2	6	2	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.147141778685864	0.0564132750629641	0	0
9	70146716	129591701	2	0	0	0	0	2	102	1	0.111610225094713	1	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	1	NA	0	0
10	19707588	49803042	3	0	0	0	2	5	102	4	0.035110115675981	0.0050302983793779	NA	0	2	2	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0292972097754376	0	0	0
11	54349635	54416005	0	3	0	0	0	3	102	2	0.0292908865348883	1	NA	0	NA	NA	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.506002598703909	1	0	0	0
12	15360699	123016521	4	0	0	0	2	6	102	2	0.0100534444728365	0.00219493128448362	NA	0.00112862840699868	NA	NA	3	1	3	0	0	0	0	NA		 	BS_K07KNTFY	0.2969930268085	0.0158617280324292	0.00131559704732978	0	0
13	48959282	48962405	1	0	0	0	0	1	102	1	0.391625176271089	0.0534239765928094	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.15044547449725	NA	0	0
14	105999391	106142448	1	1	0	0	0	2	102	1	0.572406704470879	0.550119070993054	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.637121218961809	NA	0	0
15	37307822	37404200	0	1	0	0	0	1	102	1	0.391625176271089	0.505001746593193	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.603153800711434	NA	0	0
16	15926692	24617198	2	0	0	0	0	2	102	5	0.111610225094713	NA	NA	NA	3	3	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
17	17324421	62545554	3	0	1	0	0	4	102	6	0.111610225094713	0.496360964971107	NA	3.05954283019716e-08	4	4	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.595584158857237	4.79517675591225e-08	0	0
18	NA	NA	0	0	0	0	0	0	102	NA	NA	0.492989826873968	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_K07KNTFY	NA	0.592826607207467	NA	0	0
19	53704839	54308469	2	1	1	1	0	5	102	1	0.896432373341912	0.0863077198768023	NA	0	NA	NA	2	1	1	0	0	0	0	NA		 	BS_K07KNTFY	0.908903051159523	0.198462038422726	0	0	0
20	35128135	35129156	1	0	0	0	0	1	102	1	0.391625176271089	0.100331337586557	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.220131301148845	NA	0	0
21	36187062	36187296	1	0	0	0	0	1	102	1	0.391625176271089	0.26502771442947	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.408854546036036	NA	0	0
22	22707732	22765972	1	0	0	0	0	1	102	2	0.391625176271089	0.00316714126928176	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0209334432453071	NA	0	0
X	82726771	131840712	1	0	1	0	0	2	102	NA	0.572406704470879	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	1	NA	0	0
1	150032773	154425790	4	1	1	1	0	7	33	1	0.277309056900112	0.55886507573627	NA	0	NA	NA	13	13	13	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.644497627663602	0	0	0
2	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	13	11	13	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
3	NA	NA	0	0	0	0	0	0	33	NA	NA	0.000315809345388255	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_TE8QFF7T	NA	0.00340911420354728	NA	0	0
4	49322626	49329829	0	1	0	0	0	1	33	2	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	NA	NA	0	0
5	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
6	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
7	67154445	96920503	1	0	0	1	0	2	33	7	0.572406704470879	0.424358153580904	NA	NA	3	5	17	4	17	0	0	0	0	NA		 	BS_TE8QFF7T	0.619631498714411	0.542213114346252	NA	0	0
8	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
9	NA	NA	0	0	0	0	0	0	33	NA	NA	0.329240600691643	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_TE8QFF7T	NA	0.465772753888142	NA	0	0
10	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
11	89051212	89051666	1	0	0	0	0	1	33	2	0.391625176271089	0.000784214600092005	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.00700376815879377	NA	0	0
12	40503728	40512080	1	0	0	0	0	1	33	1	0.391625176271089	0.0769104541052132	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.187395045811578	NA	0	0
13	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
14	46358878	46850750	1	0	0	0	0	1	33	1	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	NA	NA	0	0
15	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
16	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
17	51168594	51168886	1	0	0	0	0	1	33	1	0.391625176271089	0.239940217140129	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.385369098749771	NA	0	0
18	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
19	29649238	54425379	3	1	0	0	2	6	33	4	0.343030146138244	0.000387645486216378	NA	4.44089209850063e-16	1	1	2	1	1	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.00400665891578238	1.04341656088249e-15	0	0
20	53701900	53702203	1	0	0	0	0	1	33	1	0.391625176271089	NA	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	NA	NA	0	0
21	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
22	NA	NA	0	0	0	0	0	0	33	NA	NA	NA	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_TE8QFF7T	NA	NA	NA	0	0
X	154294280	154294587	1	0	0	0	0	1	33	NA	0.391625176271089	0.0117891153275806	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_TE8QFF7T	0.522568139124258	0.0566026470616407	NA	0	0
1	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	13	13	13	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
2	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
3	146667455	146672520	1	0	0	0	0	1	5	1	0.391625176271089	NA	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_2VB8649B	0.522568139124258	NA	NA	0	0
4	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
5	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
6	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
7	NA	NA	0	0	0	0	0	0	5	NA	NA	0.104572410548751	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_2VB8649B	NA	0.226561651454106	NA	0	0
8	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
9	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
10	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
11	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
12	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
13	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
14	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
15	NA	NA	0	0	0	0	0	0	5	NA	NA	0.0547029701661836	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_2VB8649B	NA	0.152678439120542	NA	0	0
16	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
17	40138792	40139245	1	0	0	0	0	1	5	1	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_2VB8649B	0.522568139124258	NA	NA	0	0
18	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
19	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
20	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
21	NA	NA	0	0	0	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	NA	NA	NA	0	0
22	NA	NA	0	0	0	0	0	0	5	NA	NA	0.000141008053643024	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_2VB8649B	NA	0.00175790040208303	NA	0	0
X	7890540	7890937	1	0	0	0	0	1	5	NA	0.391625176271089	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_2VB8649B	0.522568139124258	NA	NA	0	0
1	1068747	1068825	0	1	0	0	0	1	52	1	0.391625176271089	0.0304890164457199	NA	NA	NA	NA	13	13	13	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	0.108139479106427	NA	0	0
2	178436416	178447385	2	0	0	0	0	2	52	1	0.111610225094713	0.436824451985262	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	0.549382734643145	NA	0	0
3	NA	NA	0	0	0	0	0	0	52	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MW74GF38	NA	1	NA	0	0
4	NA	NA	0	0	0	0	0	0	52	NA	NA	0.0641140132831814	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_MW74GF38	NA	0.16666078517046	NA	0	0
5	NA	NA	0	0	0	0	0	0	52	NA	NA	0.0526374031242007	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_MW74GF38	NA	0.15044547449725	NA	0	0
6	29883031	29937985	0	1	0	0	0	1	52	2	0.391625176271089	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	NA	NA	0	0
7	NA	NA	0	0	0	0	0	0	52	NA	NA	0.000147375124104118	1.16459986099215e-09	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_MW74GF38	NA	0.00182976979927023	NA	0	0
8	19865724	51790880	0	1	0	1	0	2	52	2	0.572406704470879	1	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_MW74GF38	0.619631498714411	1	NA	0	0
9	89729995	89730552	0	1	0	0	0	1	52	1	0.391625176271089	0.226872762368472	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	0.373309655690914	NA	0	0
10	39518012	61048313	2	0	0	0	0	2	52	4	0.111610225094713	NA	NA	NA	2	2	4	4	4	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	NA	NA	0	0
11	NA	NA	0	0	0	0	0	0	52	NA	NA	NA	NA	NA	NA	NA	5	5	5	0	0	0	0	NA		 	BS_MW74GF38	NA	NA	NA	0	0
12	9322609	56284690	3	1	1	0	1	6	52	2	0.343030146138244	0.0468500937510655	NA	8.27048736273817e-07	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MW74GF38	0.522568139124258	0.140490674894447	1.18992847998501e-06	0	0
13	22962833	24388200	1	1	0	0	0	2	52	1	0.572406704470879	0.187005427893243	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_MW74GF38	0.619631498714411	0.331263921601132	NA	0	0
14	NA	NA	0	0	0	0	0	0	52	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_MW74GF38	NA	NA	NA	0	0
